district,m_050,m_080,m_120,m_200,beta_minus_20,beta_plus_20,ip_minus_20,ip_plus_20
Hopa (Artvin),-1.0775366297304279,-0.7130616844605441,0.979525473683637,5.786427509376684,-0.713061684460545,0.979525473683637,-0.7130616844605441,0.979525473683638
Egirdir (Isparta),-7.383075644706859e-6,-7.363809033622548e-6,5.191205938333554e-4,0.26083080720174207,-7.363809033622548e-6,5.191205938333554e-4,-7.363809033622548e-6,5.191205938333665e-4
Kartal (Istanbul),-99.21788124147048,-67.82317947750556,0.7815609290467207,0.7816330524182846,-67.82317947750556,0.7815609290467207,-67.82317947750553,0.7815609290467207
Fethiye (Mugla),-0.3220462109820138,-0.32055814734320137,6.162009397072792,99.14015573123613,-0.32055814734320137,6.162009397072792,-0.32055814734320137,6.162009397072809
Zonguldak,-0.0926416279843826,-0.08290184690977993,0.1864657232044229,1.2874988388194268,-0.08290184690977993,0.1864657232044229,-0.08290184690977993,0.1864657232044239
