scenario,m_val,beta_vh,ip_days,gamma_day,mean_delta_pct,mean_delta_abs,mean_p_mean
m_200,2,0.3,5,0.2,713106.4133302745,0.21451309187810452,0.4159358342338126
ip_plus_20,1,0.3,6,0.16666666666666666,1847.5039676278186,0.01622016128720285,0.21764290364291092
beta_plus_20,1,0.36,5,0.2,1847.5039676277877,0.016220161287202814,0.21764290364291086
m_120,1.2,0.3,5,0.2,1847.5039676277877,0.016220161287202814,0.21764290364291086
m_050,0.5,0.3,5,0.2,-99.9855511277024,-0.20142022618648592,2.5161692221337796e-6
beta_minus_20,1,0.24,5,0.2,-84.6497438488445,-0.13787941704005627,0.06354332531565178
ip_minus_20,1,0.3,4,0.25,-84.6497438488445,-0.13787941704005624,0.06354332531565184
m_080,0.8,0.3,5,0.2,-84.6497438488445,-0.13787941704005627,0.06354332531565181
