district,base,m_050,m_080,m_120,m_200,beta_minus_20,beta_plus_20,ip_minus_20,ip_plus_20
Hopa (Artvin),0.01078308877987693,7.722482572651735e-6,0.00365247193527149,0.0205783435167133,0.06864736387364377,0.00365247193527148,0.0205783435167133,0.00365247193527149,0.02057834351671331
Egirdir (Isparta),7.38307567791363e-8,3.320677066653843e-16,1.926664429108271e-10,5.26503669511269e-6,0.0026083819027742,1.926664429108271e-10,5.26503669511269e-6,1.926664429108271e-10,5.265036695112801e-6
Kartal (Istanbul),0.9921836694758172,4.857061112337857e-6,0.3139518747007616,0.9999992787662844,1,0.31395187470076147,0.9999992787662844,0.31395187470076175,0.9999992787662844
Fethiye (Mugla),0.00322046214646191,3.6641772171996935e-11,1.4880673029896374e-5,0.06484055611718983,0.9946220194588232,1.4880673029896374e-5,0.06484055611718983,1.4880673029896484e-5,0.06484055611719
Zonguldak,9.26417545627401e-4,1.2657835750662372e-9,9.739907652960178e-5,0.00279107477767163,0.01380140593382167,9.739907652960167e-5,0.00279107477767163,9.739907652960167e-5,0.00279107477767164
