term,estimate,std.error,statistic,p.value
(Intercept),-234.888,3.3046,-71.079,<1e-04
T,16.6832,0.2739,60.899,<1e-04
I(T^2),-0.3166,0.0057,-55.195,<1e-04
RH,0.2177,0.0067,32.326,<1e-04
