species,k_vpd,max_p_est,T_at_max
aegypti,0.3,0.35413327980268283,29.78
aegypti,0.5,0.3480469061088088,29.46
aegypti,0.8,0.3447184971879454,28.96
albopictus,0.3,0.24283135567880562,28.52
albopictus,0.5,0.24913764439700448,28.16
albopictus,0.8,0.2648535317992309,27.6
