Model,AIC,BIC,logLik,dAIC,chi2,p
LMM1: (1|ilce),2638.8,2667.4,-1313.4,NA,NA,NA
LMM2: + (T|ilce),1153.8,1191.9,-568.9,1485,1489,5e-324
