ssp,ssp_label,district_id,district_label,n_months,max_p,n_p_gt_001,n_p_gt_005,n_p_gt_010,P_exact,P_poisson,rel_diff_pct,Lambda_p,Sp2_over_2,taylor_valid
ssp126,SSP1-2.6,TUR.40.25_1,Kartal (Istanbul),612,0.10076449870442009,77,25,1,0.9745737556209825,0.9718465784706054,0.27983281251395453,3.5700863854453107,0.09728342977020635,FALSE
ssp126,SSP1-2.6,TUR.10.4_1,Hopa (Artvin),612,7.01596775484046e-4,0,0,0,0.0015058637390107377,0.0015055524726557135,0.02067028688988104,0.001506686955605008,3.116114615272049e-7,TRUE
ssp126,SSP1-2.6,TUR.59.4_1,Fethiye (Mugla),612,1.29380719525779e-5,0,0,0,1.3419712551887564e-4,1.3419667791680912e-4,3.335407258476048e-4,1.3420568309668645e-4,4.4766057399807755e-10,TRUE
ssp126,SSP1-2.6,TUR.81.6_1,Zonguldak,612,3.449709172669646e-5,0,0,0,1.9973995461641803e-4,1.9973802629524862e-4,9.654158443722172e-4,1.9975797659143124e-4,1.92867190640172e-9,TRUE
ssp126,SSP1-2.6,TUR.39.3_1,Egirdir (Isparta),612,3.0266499330133813e-9,0,0,0,4.940222231297753e-9,4.94022300845387e-9,1.5731197522129636e-5,4.940222985472254e-9,4.712822848661103e-18,TRUE
ssp245,SSP2-4.5,TUR.40.25_1,Kartal (Istanbul),612,0.15430315833849223,85,37,10,0.9921836642464502,0.9904975084944321,0.16994391389206645,4.6562012510167765,0.1815521627283596,FALSE
ssp245,SSP2-4.5,TUR.10.4_1,Hopa (Artvin),612,0.0015645659547036846,0,0,0,0.010783088781135763,0.010778286702216144,0.04453342652635788,0.010836793214091431,4.850875876042747e-6,TRUE
ssp245,SSP2-4.5,TUR.59.4_1,Fethiye (Mugla),612,0.002489177386695671,0,0,0,0.003220462138454505,0.0032173347957297205,0.09710850773378324,0.0032225215453180866,3.1322882998000583e-6,TRUE
ssp245,SSP2-4.5,TUR.81.6_1,Zonguldak,612,1.043786457768071e-4,0,0,0,9.264175456912271e-4,9.263860274888458e-4,0.003402159482830759,9.268153882144245e-4,3.154567299369421e-8,TRUE
ssp245,SSP2-4.5,TUR.39.3_1,Egirdir (Isparta),612,6.085312933856724e-8,0,0,0,7.383075717459775e-8,7.38307549541517e-8,3.007481074587003e-6,7.383075764055836e-8,1.8641584872958883e-15,TRUE
ssp585,SSP5-8.5,TUR.40.25_1,Kartal (Istanbul),612,0.18457920830544747,109,59,17,0.9992673940926071,0.9989825359924085,0.02850669419242823,6.890442014647627,0.3034544912911388,FALSE
ssp585,SSP5-8.5,TUR.10.4_1,Hopa (Artvin),612,0.0021398871901600106,0,0,0,0.023691649235446754,0.023679356544926256,0.051886174737497834,0.023964218392395722,1.2579478048216504e-5,TRUE
ssp585,SSP5-8.5,TUR.59.4_1,Fethiye (Mugla),612,7.236299322141804e-5,0,0,0,3.7027673429024244e-4,3.702696919826165e-4,0.001901903893431568,3.703382587310247e-4,7.0446534286630315e-9,TRUE
ssp585,SSP5-8.5,TUR.81.6_1,Zonguldak,612,1.2209773511550725e-4,0,0,0,0.002177499964996943,0.002177425772211583,0.003407246225141034,0.0021797998105292167,7.435065888467126e-8,TRUE
ssp585,SSP5-8.5,TUR.39.3_1,Egirdir (Isparta),612,4.18616352004797e-9,0,0,0,1.74918549644687e-8,1.7491854853446398e-8,6.347085697202261e-7,1.7491855026308124e-8,2.4102702606568794e-17,TRUE
