district_id,year,month,temp_c,rh,province_name.x,district_name.x,lambda_import,q_import_month,days_in_month,province_name.y,district_name.y,species,p_local_major,p_establishment,q_extinction,lambda_local_i1,p_month_major
TUR.10.4_1,2025,1,2.7727157944429885,76.6627035987201,Artvin,Hopa,9.743674345105856e-4,9.42891771906762e-5,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2025,2,3.4530387025408666,78.01872972929112,Artvin,Hopa,7.288563279005163e-4,7.808870033665372e-5,28,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2025,3,3.8387143799268144,80.33849302445594,Artvin,Hopa,8.947319176980554e-4,8.658321123466983e-5,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2025,4,8.20473734070273,78.41148624138377,Artvin,Hopa,0.0011831183965598066,1.1830484108632522e-4,30,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2025,5,13.103286630967084,84.1166521144556,Artvin,Hopa,0.0016536866821037998,1.600213902536174e-4,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2025,6,17.328715885386746,85.52858339148244,Artvin,Hopa,0.0018600185588174033,1.859845586089648e-4,30,Artvin,Hopa,aegypti,0,0,1,0.007363873306534253,0
TUR.10.4_1,2025,7,20.174097117255716,89.0994218122265,Artvin,Hopa,0.0021842835273149603,2.1135993717757984e-4,31,Artvin,Hopa,aegypti,1.5289436383625343e-15,1.5289436383625343e-15,0.9999999999999984,0.05698867139326101,0
TUR.10.4_1,2025,8,21.26083469390869,91.83991493396837,Artvin,Hopa,0.0025936990027107935,2.5097163064458083e-4,31,Artvin,Hopa,aegypti,2.587243267515582e-9,2.587243267515582e-9,0.9999999974127567,0.09694983395205078,6.710521027741834e-12
TUR.10.4_1,2025,9,16.832815703223734,89.47135575471722,Artvin,Hopa,0.0020673033541503912,2.0670896817165385e-4,30,Artvin,Hopa,aegypti,0,0,1,0.004403054681276422,0
TUR.10.4_1,2025,10,14.24745183832505,84.5692496184529,Artvin,Hopa,0.002037241177953561,1.9713293880829763e-4,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2025,11,8.906155396910275,82.83230937593409,Artvin,Hopa,0.0011817009308276337,1.1816311127232915e-4,30,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2025,12,4.970334209501743,70.2164687695517,Artvin,Hopa,9.719675696141759e-4,9.405695407194159e-5,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2026,1,1.8115797676693868,80.1125327002826,Artvin,Hopa,0.001108895228430962,1.073066836869696e-4,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2026,2,3.0632181268267553,77.09554247343175,Artvin,Hopa,8.294871889130389e-4,8.886967823973357e-5,28,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2026,3,6.078476447721615,72.78224149857704,Artvin,Hopa,0.0010182646906283473,9.853688917615955e-5,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2026,4,11.10763279129477,72.5617624254658,Artvin,Hopa,0.0013464677678529362,1.3463771231492228e-4,30,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2026,5,17.62525261149687,75.90224323994389,Artvin,Hopa,0.001882005910866483,1.821130196878462e-4,31,Artvin,Hopa,aegypti,0,0,1,0.008506474890853146,0
TUR.10.4_1,2026,6,16.925881946788113,87.71531282263479,Artvin,Hopa,0.002116825369581095,2.1166013379070314e-4,30,Artvin,Hopa,aegypti,0,0,1,0.004759610887651774,0
TUR.10.4_1,2026,7,21.25227170832017,81.73313458078118,Artvin,Hopa,0.002485860564702192,2.4053821746583548e-4,31,Artvin,Hopa,aegypti,4.025330319068488e-11,4.025330319068488e-11,0.9999999999597466,0.08233305955640435,1.000310945187266e-13
TUR.10.4_1,2026,8,19.769139289855957,83.774881974984,Artvin,Hopa,0.0029518027247460283,2.856175317457188e-4,31,Artvin,Hopa,aegypti,0,0,1,0.042986540877991426,0
TUR.10.4_1,2026,9,22.450978812049417,74.76035721956097,Artvin,Hopa,0.002352729313339738,2.352452568282759e-4,30,Artvin,Hopa,aegypti,1.6022998928433285e-7,1.6022998928433285e-7,0.9999998397700107,0.11081375922146096,3.769777823237064e-10
TUR.10.4_1,2026,10,13.548200663398292,83.82819126884353,Artvin,Hopa,0.0023185165486677953,2.2434739958354655e-4,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2026,11,11.63870077273425,75.7367817270083,Artvin,Hopa,0.0013448545971627025,1.3447641695218948e-4,30,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2026,12,6.568831123411655,70.75977321291107,Artvin,Hopa,0.0011061640218673475,1.0704240170167356e-4,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2027,1,2.6312952512491714,82.39309605477479,Artvin,Hopa,0.0010556501373488653,1.0215447258765664e-4,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2027,2,4.10417414718198,76.04988817655675,Artvin,Hopa,7.896582494490282e-4,8.460266200527311e-5,28,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2027,3,5.848443526884212,74.95265165482704,Artvin,Hopa,9.693713463266454e-4,9.380573025696837e-5,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2027,4,10.344501649632173,68.8018976183369,Artvin,Hopa,0.0012818153127784574,1.2817331637637874e-4,30,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2027,5,14.772794611313763,81.68725453144779,Artvin,Hopa,0.0017916388738625276,1.733693769403466e-4,31,Artvin,Hopa,aegypti,0,0,1,2.8077521692897637e-6,0
TUR.10.4_1,2027,6,16.155334079966824,90.16433320837697,Artvin,Hopa,0.0020151831614459593,2.0149801269253587e-4,30,Artvin,Hopa,aegypti,0,0,1,0.0016389335144934589,0
TUR.10.4_1,2027,7,20.839901026557474,91.30192883126946,Artvin,Hopa,0.00236649863691011,2.2898977495866557e-4,31,Artvin,Hopa,aegypti,1.6273837832869732e-11,1.6273837832869732e-11,0.9999999999837261,0.08047148540244019,3.852473895449293e-14
TUR.10.4_1,2027,8,21.258151054382324,90.72874702625353,Artvin,Hopa,0.0028100679594536657,2.7190508770169597e-4,31,Artvin,Hopa,aegypti,1.5500416901126358e-9,1.5500416901126358e-9,0.9999999984499583,0.09488097260362974,4.355737992511877e-12
TUR.10.4_1,2027,9,20.6839461887584,89.09328110872113,Artvin,Hopa,0.002239759861070071,2.2395090535831663e-4,30,Artvin,Hopa,aegypti,1.144591366131209e-12,1.144591366131209e-12,0.9999999999988554,0.07275185077081896,2.55351295663786e-15
TUR.10.4_1,2027,10,13.879729327033546,86.98307560722243,Artvin,Hopa,0.0022071898681626932,2.135762088532056e-4,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2027,11,8.96229581973132,80.0199848520083,Artvin,Hopa,0.001280279600641683,1.280197648346748e-4,30,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2027,12,5.528267063200474,73.32498164796966,Artvin,Hopa,0.0010530500733301146,1.0190287916145291e-4,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2028,1,3.0632868880022537,78.05544957039979,Artvin,Hopa,0.0010027408839224422,9.703473220534775e-5,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2028,2,4.153016577296726,79.47307543241612,Artvin,Hopa,7.768691169545937e-4,8.036254147736344e-5,29,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2028,3,7.739366073270931,67.88737455521766,Artvin,Hopa,9.207863915082671e-4,8.910439043652296e-5,31,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2028,4,10.642464792027193,76.00086459831736,Artvin,Hopa,0.0012175706460747834,1.2174965251687819e-4,30,Artvin,Hopa,aegypti,0,0,1,0,0
TUR.10.4_1,2028,5,15.21073330149931,73.89347706562748,Artvin,Hopa,0.0017018418171748945,1.6468080803089258e-4,31,Artvin,Hopa,aegypti,0,0,1,9.791975620001738e-5,0
TUR.10.4_1,2028,6,17.909264171824734,86.30735383825979,Artvin,Hopa,0.0019141820505500973,1.9139988575933575e-4,30,Artvin,Hopa,aegypti,0,0,1,0.012788457294939102,0
TUR.10.4_1,2028,7,20.41263204462388,88.21127636544915,Artvin,Hopa,0.0022478895715733593,2.1751404086489678e-4,31,Artvin,Hopa,aegypti,2.839278812061252e-14,2.839278812061252e-14,0.9999999999999716,0.06348412647223457,1.1102230246251565e-16
TUR.10.4_1,2028,8,20.729853630065918,88.99398292713244,Artvin,Hopa,0.002669227170870439,2.582789471069491e-4,31,Artvin,Hopa,aegypti,1.910795799364706e-12,1.910795799364706e-12,0.9999999999980892,0.07411874126270368,5.10702591327572e-15
TUR.10.4_1,2028,9,18.396689947913675,85.1749156302055,Artvin,Hopa,0.002127502951407467,2.1272766540159083e-4,30,Artvin,Hopa,aegypti,0,0,1,0.018671282015790533,0
