parameter,level,value,year,lambda_total,M_climate,ssp
k,k010,0.1,2025,6.188142437079093,1.1563175718624532,ssp585
k,k010,0.1,2050,6.854682786331587,1.2808676213628691,ssp585
k,k010,0.1,2075,8.22907335974019,1.5376870153539814,ssp585
k,k013,0.13,2025,6.439106556137435,1.203212843421189,ssp585
k,k013,0.13,2050,7.305608880444392,1.36512790777173,ssp585
k,k013,0.13,2075,9.092316124374952,1.6989931199601758,ssp585
k,k020,0.2,2025,7.024689396143845,1.3126351437249064,ssp585
k,k020,0.2,2050,8.357769428631892,1.5617352427257385,ssp585
k,k020,0.2,2075,11.106548003111325,2.075374030707963,ssp585
eta,eta_low,0.15,2025,3.863463933682461,1.203212843421189,ssp585
eta,eta_low,0.15,2050,4.383365328266635,1.36512790777173,ssp585
eta,eta_low,0.15,2075,5.45538967462497,1.6989931199601758,ssp585
eta,eta_base,0.25,2025,6.439106556137435,1.203212843421189,ssp585
eta,eta_base,0.25,2050,7.305608880444392,1.36512790777173,ssp585
eta,eta_base,0.25,2075,9.092316124374952,1.6989931199601758,ssp585
eta,eta_high,0.33,2025,8.499620654101415,1.203212843421189,ssp585
eta,eta_high,0.33,2050,9.643403722186598,1.36512790777173,ssp585
eta,eta_high,0.33,2075,12.001857284174935,1.6989931199601758,ssp585
