Değişken,Moran's I,p-değeri,Yorum
log₁₀(p_ge1_major),-0.4784,0.239,"Anlamlı otokorelasyon yok (n=5, güç sınırlı)"
CSI,-0.1544,0.661,"Anlamlı otokorelasyon yok (n=5, güç sınırlı)"
