İlçe,2020'ler,2030'lar,2040'lar,2050'ler,2060'lar,2070'ler
Kartal (İstanbul),0.06765967454431816,0.06883320100648861,0.10040629567652656,0.1337937093745648,0.21142182979578653,0.18364490691773966
Fethiye (Muğla),1.3229862332815756e-6,8.72849166495252e-6,2.6556827980625973e-6,4.345129319850538e-6,1.1940736613106162e-5,1.4503652356295693e-5
Zonguldak,6.429128104659942e-6,1.1845112913677515e-6,9.345266862660651e-6,4.2166228429644594e-5,9.310479754570066e-5,1.149351139234538e-4
Hopa (Artvin),9.71549467054307e-5,7.118583545172941e-5,1.107346896758563e-4,4.069676149623139e-4,9.00575279159172e-4,0.0014299591529356836
Eğirdir (Isparta),1.4391835811977672e-11,2.1473436424557235e-10,9.793895748844149e-11,3.842336248616185e-10,8.911774741826583e-10,2.565086065775546e-10
