district_label,p_mean,p_lo,p_hi,Lambda
Kartal (İstanbul),9.99e-01,9.99e-01,9.99e-01,289.6
Hopa (Artvin),2.37e-02,2.36e-02,2.38e-02,1.4
Zonguldak,2.18e-03,2.16e-03,2.19e-03,0.2
Fethiye (Muğla),3.70e-04,3.58e-04,3.83e-04,89.5
Eğirdir (Isparta),1.75e-08,1.67e-08,1.84e-08,0.1
