İlçe,2020'ler,2030'lar,2040'lar,2050'ler,2060'lar,2070'ler
Kartal (İstanbul),0.03339135503901044,0.05522923554557496,0.049544967395357166,0.08368700932333756,0.10012926635721581,0.07588433168323756
Fethiye (Muğla),1.4718239391389165e-6,1.7764851782381963e-6,1.3016704805923209e-6,5.886516025148814e-6,3.0379466241245324e-6,1.1367246157673224e-6
Zonguldak,4.7838292398338924e-8,7.08060984525194e-7,5.151234093048063e-6,1.736437146082237e-6,6.451398580722401e-6,9.841241000672777e-6
Hopa (Artvin),3.917452044936986e-7,1.1603805808861223e-6,2.805219696287077e-5,7.925975631848725e-6,4.010181488262734e-5,1.2205409066504616e-4
Eğirdir (Isparta),7.710808591632202e-12,3.7005313902049866e-11,6.196156088211779e-12,7.25890269670515e-11,3.557686197419585e-10,3.101296258689601e-11
