parameter,PRCC,p_value,ci_lo,ci_hi
m,0.6851904295916063,<0.0001,0.6612175361205496,0.7077653734815967
beta_vh,0.5549219018920928,<0.0001,0.523832001177828,0.5845353310240209
beta_hv,0.5347357611014945,<0.0001,0.5026867847966805,0.565316816775695
T_C,0.9012767620652533,<0.0001,0.8927113197955387,0.9091911869418976
RH,0.5365023220177676,<0.0001,0.5045357478576716,0.5670000239193146
ip_days,0.43096115956385217,<0.0001,0.3945836876950231,0.46598981050598154
