scenario,m_val,beta_vh,ip_days,gamma_day,mean_delta_pct,mean_delta_abs,mean_p_mean
m_200,2,0.3,5,0.2,3717576.467345813,0.22536853202850735,0.4304698997585977
ip_plus_20,1,0.3,6,0.16666666666666666,3655.6263819854103,0.010430685729971495,0.21553205346006182
beta_plus_20,1,0.36,5,0.2,3655.6263819854066,0.010430685729971478,0.2155320534600618
m_120,1.2,0.3,5,0.2,3655.6263819854057,0.010430685729971472,0.2155320534600618
m_050,0.5,0.3,5,0.2,-99.95569699922234,-0.2050899560749193,1.1411655170999735e-5
beta_minus_20,1,0.24,5,0.2,-85.03087976262734,-0.12980301889143905,0.07529834883865126
m_080,0.8,0.3,5,0.2,-85.03087976262734,-0.129803018891439,0.07529834883865133
ip_minus_20,1,0.3,4,0.25,-85.03087976262732,-0.129803018891439,0.07529834883865133
