district,base,m_050,m_080,m_120,m_200,beta_minus_20,beta_plus_20,ip_minus_20,ip_plus_20
Hopa (Artvin),0.02369164926996465,5.2356083811405215e-5,0.0073147136847593304,0.04475344606151689,0.1293082523914477,0.0073147136847593304,0.0447534460615169,0.0073147136847593304,0.04475344606151691
Egirdir (Isparta),1.7491854915285822e-8,0,3.9180051980558514e-11,1.9210618123143285e-6,0.00320405365922431,3.9180051980558514e-11,1.9210618123143285e-6,3.9180051980558514e-11,1.9210618123143285e-6
Kartal (Istanbul),0.9992673951892214,4.701004622137961e-6,0.3690332822431898,0.9999999988403588,1,0.36903328224318943,0.9999999988403588,0.36903328224318976,0.9999999988403588
Fethiye (Mugla),3.702767349144045e-4,1.852864417450917e-12,9.59435587746138e-7,0.0267480623446474,0.9971161272216964,9.59435587746138e-7,0.02674806234464742,9.59435587746138e-7,0.02674806234464749
Zonguldak,0.00217749996449626,1.185568591077768e-9,1.4278879053972226e-4,0.00615683899197361,0.02272106552061977,1.4278879053972215e-4,0.00615683899197362,1.4278879053972226e-4,0.00615683899197362
