district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,1.0902377690662848,0.043027063209184833,0.0429719602399259,0.04308701174769373,1.7502809498965566e-4,1.7502809498965566e-4,1.7502809498965566e-4,7.182374533930547e-5,7.172975804616355e-5,7.192605465559262e-5,0.024390695582905447,0.024356545531071323,0.024425593494096794
TUR.39.3_1,albopictus,2025,2075,0.08542667321187623,0.0022451172078978205,0.0022367356074467827,0.0022537388869439427,1.3715769690855188e-5,1.3715769690855188e-5,1.3715769690855188e-5,3.6725603917297e-6,3.658834677145004e-6,3.6866795419312712e-6,0.01655809618360265,0.01649692314673112,0.01661989196496357
TUR.40.25_1,albopictus,2025,2075,228.73330235524665,1,1,1,0.035963827508213475,0.035963827508213475,0.035963827508213475,0.06530349565658644,0.06528485190135067,0.06532318351815494,0.13544559889170324,0.13540184247837064,0.13549162255410385
TUR.59.4_1,albopictus,2025,2075,70.72451709674914,0.9916908531923151,0.9916222214380257,0.991762357975361,0.011281805042226417,0.011281805042226417,0.011281805042226417,0.007680601482192675,0.0076673988260066925,0.007694269156359754,0.04520361055447094,0.04512338265003283,0.04528751595297495
TUR.81.6_1,aegypti,2025,2075,0.14738518865082947,0.011289280032135538,0.011277240125946048,0.011301058908550909,2.366344964886827e-5,2.366344964886827e-5,2.366344964886827e-5,1.855009457924824e-5,1.8530199050363988e-5,1.8569558214104482e-5,0.04800640427669724,0.04795293101206093,0.04805773052045041
