district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.007314713684759333,0.0072717744281555535,0.007354652420166846,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,1.1991218921172122e-5,1.1920588907546404e-5,1.2056913345822897e-5,0.002821001348536257,0.002804003348616053,0.0028370598437042
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,3.9180051980558514e-11,3.7369779493090503e-11,4.131896769177246e-11,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,6.401969277869039e-14,6.10617311978603e-14,6.751465309113147e-14,2.1754253162826043e-10,2.0780538841525338e-10,2.2923120411205737e-10
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.36903328224318943,0.36640201551380874,0.3718405128952076,0.04527248508707732,0.04527248508707732,0.04527248508707732,7.455722693922617e-4,7.389360265681522e-4,7.526675527465016e-4,9.183028649689517e-4,9.103289730463308e-4,9.26853973421367e-4
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,9.59435587746138e-7,9.250032510177419e-7,9.973786894240667e-7,0.014257595668631126,0.014257595668631126,0.014257595668631126,1.567705875959784e-9,1.5114438416391593e-9,1.629704459876322e-9,6.848382966239442e-9,6.6090682546711725e-9,7.115500230170634e-9
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,1.4278879053972215e-4,1.3952297785608525e-4,1.4589098660107991e-4,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,2.3333061515463367e-7,2.2799362338260338e-7,2.3840022997920932e-7,4.228049943519738e-4,4.134956406080442e-4,4.31856678687078e-4
