ssp,district,carpan,P,P_base,delta_pp,senaryolar,sinif
SSP5-8.5,Egirdir (Isparta),0.5,0,1.7491854915285822e-8,-1.7491854915285821e-6,m_050,"0,50x (m)"
SSP5-8.5,Egirdir (Isparta),0.8,3.9180051980558514e-11,1.7491854915285822e-8,-1.7452674863305263e-6,beta_minus_20 = ip_minus_20 = m_080,"0,80x (m / beta_vh / IP)"
SSP5-8.5,Egirdir (Isparta),1.2,1.9210618123143285e-6,1.7491854915285822e-8,1.9035699573990427e-4,beta_plus_20 = ip_plus_20 = m_120,"1,20x (m / beta_vh / IP)"
SSP5-8.5,Egirdir (Isparta),2,0.00320405365922431,1.7491854915285822e-8,0.32040361673693946,m_200,"2,00x (m)"
SSP5-8.5,Fethiye (Mugla),0.5,1.852864417450917e-12,3.702767349144045e-4,-0.03702767330615401,m_050,"0,50x (m)"
SSP5-8.5,Fethiye (Mugla),0.8,9.59435587746138e-7,3.702767349144045e-4,-0.03693172993266584,beta_minus_20 = ip_minus_20 = m_080,"0,80x (m / beta_vh / IP)"
SSP5-8.5,Fethiye (Mugla),1.2,0.0267480623446474,3.702767349144045e-4,2.6377785609732998,beta_plus_20 = ip_plus_20 = m_120,"1,20x (m / beta_vh / IP)"
SSP5-8.5,Fethiye (Mugla),2,0.9971161272216964,3.702767349144045e-4,99.6745850486782,m_200,"2,00x (m)"
SSP5-8.5,Hopa (Artvin),0.5,5.2356083811405215e-5,0.02369164926996465,-2.3639293186153245,m_050,"0,50x (m)"
SSP5-8.5,Hopa (Artvin),0.8,0.0073147136847593304,0.02369164926996465,-1.6376935585205321,beta_minus_20 = ip_minus_20 = m_080,"0,80x (m / beta_vh / IP)"
SSP5-8.5,Hopa (Artvin),1.2,0.04475344606151689,0.02369164926996465,2.106179679155224,beta_plus_20 = ip_plus_20 = m_120,"1,20x (m / beta_vh / IP)"
SSP5-8.5,Hopa (Artvin),2,0.1293082523914477,0.02369164926996465,10.561660312148305,m_200,"2,00x (m)"
SSP5-8.5,Kartal (Istanbul),0.5,4.701004622137961e-6,0.9992673951892214,-99.92626941845992,m_050,"0,50x (m)"
SSP5-8.5,Kartal (Istanbul),0.8,0.3690332822431898,0.9992673951892214,-63.02341129460316,beta_minus_20 = ip_minus_20 = m_080,"0,80x (m / beta_vh / IP)"
SSP5-8.5,Kartal (Istanbul),1.2,0.9999999988403588,0.9992673951892214,0.07326036511374756,beta_plus_20 = ip_plus_20 = m_120,"1,20x (m / beta_vh / IP)"
SSP5-8.5,Kartal (Istanbul),2,1,0.9992673951892214,0.07326048107786365,m_200,"2,00x (m)"
SSP5-8.5,Zonguldak,0.5,1.185568591077768e-9,0.00217749996449626,-0.2177498778927669,m_050,"0,50x (m)"
SSP5-8.5,Zonguldak,0.8,1.4278879053972226e-4,0.00217749996449626,-0.20347111739565377,beta_minus_20 = ip_minus_20 = m_080,"0,80x (m / beta_vh / IP)"
SSP5-8.5,Zonguldak,1.2,0.00615683899197361,0.00217749996449626,0.39793390274773494,beta_plus_20 = ip_plus_20 = m_120,"1,20x (m / beta_vh / IP)"
SSP5-8.5,Zonguldak,2,0.02272106552061977,0.00217749996449626,2.054356555612351,m_200,"2,00x (m)"
