ssp,ssp_label,district_id,district,P_kvpd,P_canonical,oran,log10_fark
ssp126,SSP1-2.6,TUR.40.25_1,Kartal,0.9745742223407973,0.9745737670131724,1.0000004672069374,2.0290534736254473e-7
ssp126,SSP1-2.6,TUR.10.4_1,Hopa,0.001505863777467198,0.00150586373819563,1.000000026079098,1.1326008131362642e-8
ssp126,SSP1-2.6,TUR.81.6_1,Zonguldak,1.9973995648636667e-4,1.997399547803844e-4,1.0000000085410166,3.7093164095836073e-9
ssp126,SSP1-2.6,TUR.59.4_1,Fethiye,1.3419712716267185e-4,1.341971255921678e-4,1.0000000117029633,5.08253217290644e-9
ssp126,SSP1-2.6,TUR.39.3_1,Egirdir,4.940222453342358e-9,4.940222985472253e-9,0.9999998922862597,-4.677948695075429e-8
ssp245,SSP2-4.5,TUR.40.25_1,Kartal,0.992183831376114,0.9921836694758172,1.0000001631757323,7.086631433365562e-8
ssp245,SSP2-4.5,TUR.10.4_1,Hopa,0.01078308896765312,0.01078308877987693,1.000000017413952,7.56278306646152e-9
ssp245,SSP2-4.5,TUR.81.6_1,Zonguldak,9.264175512642137e-4,9.26417545627401e-4,1.000000006084527,2.6424764598687034e-9
ssp245,SSP2-4.5,TUR.59.4_1,Fethiye,0.0032204669370518024,0.00322046214646191,1.0000014875473378,6.460331198887559e-7
ssp245,SSP2-4.5,TUR.39.3_1,Egirdir,7.383075706357545e-8,7.38307567791363e-8,1.0000000038525834,1.6731558361016141e-9
ssp585,SSP5-8.5,TUR.40.25_1,Kartal,0.9992674262659917,0.9992673951892214,1.000000031099554,1.3506364508850555e-8
ssp585,SSP5-8.5,TUR.10.4_1,Hopa,0.023691649759637223,0.02369164926996465,1.0000000206685726,8.976247078962274e-9
ssp585,SSP5-8.5,TUR.81.6_1,Zonguldak,0.0021774999869227374,0.00217749996449626,1.0000000102991862,4.472879400196916e-9
ssp585,SSP5-8.5,TUR.59.4_1,Fethiye,3.702767551021502e-4,3.702767349144045e-4,1.000000054520697,2.367803730862761e-8
ssp585,SSP5-8.5,TUR.39.3_1,Egirdir,1.7491854853446398e-8,1.7491854915285822e-8,0.9999999964646732,-1.5353736060319534e-9
