district_id,province_name,district_name,pi_scenario,year,month,V_TR,A_d,V_in_day,rate_pp_year,daily_rate,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.003624691199245481,33820,58.187935602266435,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.6279892517689902,1,0.25,31,3,6.089720464652793e-5,1.826916139395838e-4,0.001887813344042366,0.001887813344042366,1.82674926842874e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.003624691199245481,33820,48.189872828582644,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.520085854004514,1,0.25,29,3,5.043362540976704e-5,1.5130087622930113e-4,0.0014625751368832444,0.0014625751368832444,1.512894308289825e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.003624691199245481,33820,53.43220777329991,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.5766633896290498,1,0.25,31,3,5.592004696175724e-5,1.677601408852717e-4,0.0017335214558144743,0.0017335214558144743,1.6774606993974484e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.003624691199245481,33820,73.00940943998869,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.7879489782849164,1,0.25,30,3,7.640877617964442e-5,2.2922632853893325e-4,0.0022922632853893325,0.0022922632853893325,2.2920005819138112e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.003624691199245481,33820,98.75598337593676,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.0658170884747757,1,0.25,31,3,1.03354127749452e-4,3.1006238324835596e-4,0.003203977960233012,0.003203977960233012,3.1001431887534014e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.003624691199245481,33820,114.78044540727659,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.2387599814800696,1,0.25,30,3,1.2012469940786649e-4,3.6037409822359945e-4,0.003603740982235995,0.003603740982235995,3.6030917127782836e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.003624691199245481,33820,130.44252580992173,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.407791895937949,1,0.25,31,3,1.3651601670754926e-4,4.095480501226477e-4,0.004231996517934026,0.004231996517934026,4.0946419676768375e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.003624691199245481,33820,154.89227697475835,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.6716641364809814,1,0.25,31,3,1.6210416457412775e-4,4.863124937223832e-4,0.00502522910179796,0.00502522910179796,4.861942629680316e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.003624691199245481,33820,127.5718452681487,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.3768102756615694,1,0.25,30,3,1.3351167536741158e-4,4.005350261022348e-4,0.004005350261022347,0.004005350261022347,4.0045482265715915e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.003624691199245481,33820,121.66135101650853,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.3130216771444592,1,0.25,31,3,1.273259845660655e-4,3.819779536981965e-4,0.003947105521548031,0.003947105521548031,3.819050094076015e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,11,0.003624691199245481,33820,72.92193862023956,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.7870049555407285,1,0.25,30,3,7.6317232660258e-5,2.2895169798077398e-4,0.00228951697980774,0.00228951697980774,2.2892549054087663e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,12,0.003624691199245481,33820,58.04461884197614,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.6264425155919956,1,0.25,31,3,6.0747214962406267e-5,1.822416448872188e-4,0.0018831636638345943,0.0018831636638345943,1.8222503988740701e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2025,1,0.003624691199245481,33820,58.187935602266435,3.858537867424856e-4,1.27195679970208e-6,3.815863118705742e-6,0.6279892517689902,1.203212843421189,0.25,31,3,7.327227514804339e-5,2.198168254441302e-4,0.002271440529589345,0.002271440529589345,2.1979266749594384e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2025,2,0.003624691199245481,33820,48.189872828582644,3.858537867424856e-4,1.27195679970208e-6,3.815863118705742e-6,0.520085854004514,1.203212843421189,0.25,28,3,6.0682366279163805e-5,1.820470988374914e-4,0.0016991062558165864,0.0016991062558165864,1.8203052926990537e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2025,3,0.003624691199245481,33820,53.43220777329991,3.858537867424856e-4,1.27195679970208e-6,3.815863118705742e-6,0.5766633896290498,1.203212843421189,0.25,31,3,6.728369702774195e-5,2.0185109108322583e-4,0.00208579460786,0.00208579460786,2.0183072052237794e-4,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2025,4,0.003624691199245481,33820,73.00940943998869,3.858537867424856e-4,1.27195679970208e-6,3.815863118705742e-6,0.7879489782849164,1.203212843421189,0.25,30,3,9.19359912241781e-5,2.758079736725343e-4,0.002758079736725343,0.002758079736725343,2.7576994214995043e-4,0.33,1.32
