district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,1.1397090351891614,0.06864736387364377,0.06858722627586374,0.06870681663525503,1.8296796198330993e-4,1.8296796198330993e-4,1.8296796198330993e-4,1.1612040987358541e-4,1.1601501125536146e-4,1.1622462323524089e-4,0.03731444824786278,0.037278816753453646,0.037350115318372006
TUR.39.3_1,albopictus,2025,2075,0.08930304385722287,0.0026083819027742003,0.0026001512198058105,0.00261704732434066,1.4338026506301598e-5,1.4338026506301598e-5,1.4338026506301598e-5,4.267544253745628e-6,4.254060672934328e-6,4.281739893436789e-6,0.01824042147854003,0.018181902323685228,0.01830244238082768
TUR.40.25_1,albopictus,2025,2075,239.1124383502067,1,1,1,0.037558238947917745,0.037558238947917745,0.037558238947917745,0.06899243623784837,0.0689739359047529,0.06901136805272898,0.13753063181666736,0.13748748575417138,0.13757452444135565
TUR.59.4_1,albopictus,2025,2075,73.93375411456199,0.9946220194588232,0.9945760781802173,0.9946713578704777,0.011790003984745676,0.011790003984745676,0.011790003984745676,0.008355333756286385,0.008341919525919799,0.008369906012676856,0.0469121134791846,0.04683416786001711,0.046993305711179774
TUR.81.6_1,aegypti,2025,2075,0.15407302510008414,0.013801405933821675,0.013788925891079343,0.013813978638213384,2.47370059369938e-5,2.47370059369938e-5,2.47370059369938e-5,2.2706407739351244e-5,2.268573210224553e-5,2.272723550449484e-5,0.05577939419805243,0.055725836079950956,0.05583239761677943
