district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,1.1397090351891614,0.0036524719352714887,0.003623259029841947,0.003680559281099921,1.8296796198330993e-4,1.8296796198330993e-4,1.8296796198330993e-4,5.977189174606055e-6,5.929313369835052e-6,6.023222895756594e-6,0.0017297908144459577,0.0017159178883871635,0.001743036016300782
TUR.39.3_1,albopictus,2025,2075,0.08930304385722287,1.9266644291082713e-10,1.7372593363873535e-10,2.1326855836889535e-10,1.4338026506301598e-5,1.4338026506301598e-5,1.4338026506301598e-5,3.148144492006979e-13,2.8386590463845647e-13,3.484780365504826e-13,1.0956721121923124e-9,9.895762108077223e-10,1.2110605208440187e-9
TUR.40.25_1,albopictus,2025,2075,239.1124383502067,0.31395187470076147,0.3114115549332382,0.3164728897942247,0.037558238947917745,0.037558238947917745,0.037558238947917745,6.092665754943006e-4,6.033782147860467e-4,6.151635847553518e-4,8.908839111743964e-4,8.825439448548132e-4,8.994308570679403e-4
TUR.59.4_1,albopictus,2025,2075,73.93375411456199,1.4880673029896374e-5,1.3613056069181063e-5,1.6273633881419557e-5,0.011790003984745676,0.011790003984745676,0.011790003984745676,2.4314871839914577e-8,2.224359828711506e-8,2.6590955973070214e-8,1.0354244750508259e-7,9.501799148234781e-8,1.1285889992649153e-7
TUR.81.6_1,aegypti,2025,2075,0.15407302510008414,9.739907652960167e-5,9.498442452541555e-5,9.992894993182122e-5,2.47370059369938e-5,2.47370059369938e-5,2.47370059369938e-5,1.5915543394849638e-7,1.5520961624830494e-7,1.6328955619233713e-7,3.42111287085929e-4,3.3365253508389075e-4,3.510122431344504e-4
