district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,1.0902377690662848,1.558270050949706e-4,1.495888147813429e-4,1.6262120333684072e-4,1.7502809498965566e-4,1.7502809498965566e-4,1.7502809498965566e-4,2.54622170836647e-7,2.444288902345813e-7,2.657239171846453e-7,7.878817311499263e-5,7.564436965106296e-5,8.221960097227271e-5
TUR.39.3_1,albopictus,2025,2075,0.08542667321187623,1.0882682643931218e-11,1.0078296530657837e-11,1.1783485298622054e-11,1.3715769690855188e-5,1.3715769690855188e-5,1.3715769690855188e-5,1.7782161182894148e-14,1.6467804788656596e-14,1.9254060945460875e-14,7.579456782899564e-11,7.034258897949727e-11,8.177575900387209e-11
TUR.40.25_1,albopictus,2025,2075,228.73330235524665,0.12314033362543916,0.12183376365224136,0.12434573835284525,0.035963827508213475,0.035963827508213475,0.035963827508213475,2.1423398622005975e-4,2.1181467823133478e-4,2.164720733422129e-4,3.4419027879438566e-4,3.403470814663073e-4,3.4771827491225275e-4
TUR.59.4_1,albopictus,2025,2075,70.72451709674914,3.1944932844274467e-7,3.1100369946024387e-7,3.287568588500322e-7,0.011281805042226417,0.011281805042226417,0.011281805042226417,5.219761058987824e-10,5.081760544321156e-10,5.371844935152184e-10,2.7876749168385667e-9,2.7161442887410063e-9,2.8663065286365944e-9
TUR.81.6_1,aegypti,2025,2075,0.14738518865082947,2.615756139816461e-6,2.48995748702574e-6,2.752263448579928e-6,2.366344964886827e-5,2.366344964886827e-5,2.366344964886827e-5,4.274115898194282e-9,4.0685621160234365e-9,4.4971675207041e-9,9.96596060204019e-6,9.488047128678718e-6,1.0483093173443412e-5
