district_id,year,species,Lambda_import_year,mean_p_est_year,mean_p_local_major,p_ge1_major_year,mean_q_import_year,mean_p_month_major,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2025,aegypti,0.021183781627398708,4.3872471731936584e-4,4.3872471731936584e-4,1.578001548319108e-5,1.7350221915647204e-4,1.3150012902659232e-6,12.91337389579869,79.13168515668873
TUR.10.4_1,2026,aegypti,0.02007084553571357,4.320767904575362e-11,4.320767904575362e-11,1.4723777752578826e-12,1.6438775749355594e-4,1.226981479381569e-13,12.262030165209937,80.68418937828704
TUR.10.4_1,2027,aegypti,0.019842298102028914,0.015093101056030046,0.015093101056030046,5.083645935816117e-4,1.6251604185721358e-4,4.2363716131800976e-5,11.779633470688827,81.663183112011
TUR.10.4_1,2028,aegypti,0.019667766642792017,2.164674643238366e-13,2.164674643238366e-13,6.106226635438361e-15,1.608582905694341e-4,5.088522196198634e-16,11.733363485152093,81.40257380313241
TUR.10.4_1,2029,aegypti,0.01965135110003318,8.40672618555254e-7,8.40672618555254e-7,2.8050110123523098e-8,1.6095225623766196e-4,2.3375091769602583e-9,11.876345901007024,80.02065521385833
TUR.10.4_1,2030,aegypti,0.019348540692943218,1.7008132124887305e-5,1.7008132124887305e-5,5.587531359818598e-7,1.584723448064355e-4,4.6562761331821655e-08,12.00747815103786,82.49920898583099
TUR.10.4_1,2031,aegypti,0.0219354235007754,1.607471912758979e-5,1.607471912758979e-5,5.986934994428594e-7,1.796577849424256e-4,4.989112495357162e-8,12.978715154841113,81.0626028965569
TUR.10.4_1,2032,aegypti,0.02118423050814783,4.1905910394546274e-11,4.1905910394546274e-11,1.5051293544843247e-12,1.732598849417862e-4,1.2542744620702706e-13,12.44535743526078,82.29469734337493
TUR.10.4_1,2033,aegypti,0.020775240025282714,1.0395147432655053e-11,1.0395147432655053e-11,3.0886404545071855e-13,1.701564524613138e-4,2.5738670454226547e-14,12.118127518211372,81.16961659894947
TUR.10.4_1,2034,aegypti,0.021109516165477064,5.3490267344799786e-6,5.3490267344799786e-6,1.905257787093717e-7,1.7289402033523102e-4,1.587714832755142e-8,12.98344913454311,81.85869651940033
TUR.10.4_1,2035,aegypti,0.018704928036043872,5.7917517420902344e-11,5.7917517420902344e-11,1.8000045898247663e-12,1.532013587074906e-4,1.5000038248539718e-13,11.863992176517415,81.79545201765065
TUR.10.4_1,2036,aegypti,0.020729005485585515,0.0016187172484886671,0.0016187172484886671,5.689002058684167e-5,1.695370872935309e-4,4.740835048903473e-6,12.408152163837917,80.90285036868417
TUR.10.4_1,2037,aegypti,0.02050570029518187,1.990921679656013e-5,1.990921679656013e-5,6.931765937912004e-7,1.679490397870446e-4,5.7764716149266704e-8,11.716290482197769,80.39480517215097
TUR.10.4_1,2038,aegypti,0.02127599475331237,3.4553455350153085e-8,3.4553455350153085e-8,1.2482357369947295e-09,1.742574002243554e-4,1.0401964474956078e-10,12.004057817970283,81.50024022565846
TUR.10.4_1,2039,aegypti,0.020528599744058813,1.3218022050412437e-4,1.3218022050412437e-4,4.607231740672013e-6,1.681365764887588e-4,3.839359783893344e-7,11.8200838350401,82.02459516035084
TUR.10.4_1,2040,aegypti,0.021518238882492498,9.972602281591952e-9,9.972602281591952e-9,3.6384306678627354e-10,1.7599137145505686e-4,3.032025556552279e-11,12.125906758819587,81.42982790774667
TUR.10.4_1,2041,aegypti,0.02097823718352053,6.226556789723503e-9,6.226556789723503e-9,2.2178225922431238e-10,1.7181890686081744e-4,1.8481854935359365e-11,11.515996623351741,80.29092142886483
TUR.10.4_1,2042,aegypti,0.022291357194918933,0.017106616735588685,0.017106616735588685,6.47254832042421e-4,1.8257268631222123e-4,5.393790267293105e-5,13.003773424341846,78.9231944670932
TUR.10.4_1,2043,aegypti,0.02188796154412829,4.346496395959039e-9,4.346496395959039e-9,1.3603462800659827e-10,1.792690968648499e-4,1.1336219000549855e-11,12.86872793566641,82.92946741885507
TUR.10.4_1,2044,aegypti,0.022356080120613013,5.37968575325722e-8,5.37968575325722e-8,1.717279762836199e-9,1.8284311440376158e-4,1.4310664690301658e-10,13.080615573440559,81.53566541181569
