district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,1.1397090351891614,0.010783088779876932,0.010744794572696871,0.010821036616599061,1.8296796198330993e-4,1.8296796198330993e-4,1.8296796198330993e-4,1.7707178454397762e-5,1.764398328454317e-5,1.7769831748325523e-5,0.005275769948997726,0.005256909749339412,0.005294774787998431
TUR.39.3_1,albopictus,2025,2075,0.08930304385722287,7.38307567791363e-8,6.718441524500295e-8,8.093482647131278e-8,1.4338026506301598e-5,1.4338026506301598e-5,1.4338026506301598e-5,1.2063849287672934e-10,1.097784575525475e-10,1.322464501106829e-10,4.214594864866714e-7,3.84225724943281e-7,4.612511172230922e-7
TUR.40.25_1,albopictus,2025,2075,239.1124383502067,0.9921836694758173,0.9920829828345693,0.99228433401035,0.037558238947917745,0.037558238947917745,0.037558238947917745,0.0076081719787855825,0.007588878672763237,0.0076280274593907545,0.012289495211810874,0.012256801057096133,0.012322653497544637
TUR.59.4_1,albopictus,2025,2075,73.93375411456199,0.0032204621464619154,0.003034308268372932,0.003421984857668714,0.011790003984745676,0.011790003984745676,0.011790003984745676,5.265558080585109e-6,4.961204029947576e-6,5.595011219084268e-6,2.2880365231139312e-5,2.162863357159048e-5,2.424953493500433e-5
TUR.81.6_1,aegypti,2025,2075,0.15407302510008414,9.26417545627401e-4,9.19824272567657e-4,9.329447133028884e-4,2.47370059369938e-5,2.47370059369938e-5,2.47370059369938e-5,1.5144042291085367e-6,1.5036215440056225e-6,1.5250792932121574e-6,0.0033352385694126107,0.003310794523573541,0.003359326842469368
