district_label,p_mean,p_lo,p_hi,Lambda
Kartal (İstanbul),9.92e-01,9.92e-01,9.92e-01,239.1
Hopa (Artvin),1.08e-02,1.07e-02,1.08e-02,1.1
Fethiye (Muğla),3.22e-03,3.03e-03,3.42e-03,73.9
Zonguldak,9.26e-04,9.20e-04,9.33e-04,0.2
Eğirdir (Isparta),7.38e-08,6.72e-08,8.09e-08,0.1
