İlçe,2020'ler,2030'lar,2040'lar,2050'ler,2060'lar,2070'ler
Kartal (İstanbul),0.042266090203040826,0.03723810462277888,0.07734773094565624,0.10275157538596738,0.12232605502338458,0.15468646570111688
Fethiye (Muğla),3.2567742899333394e-5,4.3489467382854754e-06,2.3143217391570005e-5,5.623980382474359e-7,1.839504447590934e-5,4.3253089889817837e-4
Zonguldak,3.6354327532136963e-6,1.8522571608097227e-7,1.0925649193608433e-5,9.840456293102717e-6,4.147805589720157e-5,4.739049190477623e-5
Hopa (Artvin),1.0370324895802644e-4,2.976197438923145e-6,1.0226939222543859e-4,5.8387368956452415e-5,4.501473301181681e-4,6.967187223928385e-4
Eğirdir (Isparta),7.84334672543352e-11,1.4956033100865793e-11,4.5900835704548723e-10,2.56366327500146e-11,3.4663970978066055e-10,1.0829363829586067e-8
