Değişken,Moran's I,p-değeri,Yorum
log₁₀(p_ge1_major),-0.5717,0.0935,"Anlamlı otokorelasyon yok (n=5, güç sınırlı)"
CSI,-0.157,0.67,"Anlamlı otokorelasyon yok (n=5, güç sınırlı)"
