parameter,PRCC,p_value,ci_lo,ci_hi
m,0.6786649838671622,<0.0001,0.6542971128517224,0.7016250145464287
beta_vh,0.5542174657940658,<0.0001,0.523093450417288,0.5838652213091771
beta_hv,0.5517963892745757,<0.0001,0.5205554815640049,0.5815618130801029
T_C,0.8900238924836511,<0.0001,0.8805434688841471,0.8987924141919337
RH,0.5004420511868722,<0.0001,0.4668514308420867,0.5325906912521136
ip_days,0.424845980297496,<0.0001,0.38824470589287763,0.4601090405017544
