district_id,province_name,district_name,pi_scenario,year,month,V_TR,A_d,V_in_day,rate_pp_year,daily_rate,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.59.4_1,Mugla,Fethiye,low,2066,10,0.23513635462383914,2193928,7892.260334504628,1.9441070114292855e-4,6.01443037660005e-7,1.8043274851997637e-6,1.3130216771444592,1.1291904584229049,0.25,31,3,0.002136033336284787,0.006408100008854362,0.0662170334248284,0.0662170334248284,0.006387611922587855,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2066,11,0.23513635462383914,2193928,4730.499200272766,1.9441070114292855e-4,6.01443037660005e-7,1.8043274851997637e-6,0.7870049555407285,1.1291904584229049,0.25,30,3,0.001280305458865148,0.003840916376595444,0.03840916376595444,0.03840916376595444,0.003833549492169963,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2066,12,0.23513635462383914,2193928,3765.396644788262,1.9441070114292855e-4,6.01443037660005e-7,1.8043274851997637e-6,0.6264425155919956,1.1291904584229049,0.25,31,3,0.0010191012988305648,0.0030573038964916946,0.031592140263747515,0.031592140263747515,0.0030526351021202824,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,1,0.23513635462383914,2193928,3774.6937072740748,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,0.6279892517689902,1.171141680502561,0.25,31,3,0.0010595722221439813,0.0031787166664319438,0.03284673888646342,0.03284673888646342,0.0031736698954437648,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,2,0.23513635462383914,2193928,3126.112102751823,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,0.520085854004514,1.171141680502561,0.25,28,3,8.775126683791192e-4,0.0026325380051373574,0.024570354714615338,0.024570354714615338,0.0026290759156568644,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,3,0.23513635462383914,2193928,3466.1861837865263,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,0.5766633896290498,1.171141680502561,0.25,31,3,9.729728772541144e-4,0.002918918631762343,0.030162159194877546,0.030162159194877546,0.0029146627306563255,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,4,0.23513635462383914,2193928,4736.173495974438,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,0.7879489782849164,1.171141680502561,0.25,30,3,0.0013294635975147986,0.003988390792544395,0.03988390792544396,0.03988390792544396,0.003980447725514646,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,5,0.23513635462383914,2193928,6406.372474748733,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,1.0658170884747757,1.171141680502561,0.25,31,3,0.0017982953970200595,0.005394886191060179,0.05574715730762184,0.05574715730762184,0.005380359926806855,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,6,0.23513635462383914,2193928,7445.890982598921,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,1.2387599814800696,1.171141680502561,0.25,30,3,0.00209009256541019,0.00627027769623057,0.0627027769623057,0.0627027769623057,0.0062506605281491545,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,7,0.23513635462383914,2193928,8461.901530606445,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,1.407791895937949,1.171141680502561,0.25,31,3,0.0023752909517056136,0.00712587285511684,0.07363401950287403,0.07363401950287403,0.0071005440222001726,0.15,0.6
