district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,1.1397090351891614,0.020578343516713303,0.020535688034371842,0.02062329522808029,1.8296796198330993e-4,1.8296796198330993e-4,1.8296796198330993e-4,3.395737023837536e-5,3.388627833406962e-5,3.4032323249646914e-5,0.01035763246136038,0.010335055594777681,0.01038231946839962
TUR.39.3_1,albopictus,2025,2075,0.08930304385722287,5.26503669511269e-6,4.942108239558429e-6,5.5782902701501104e-06,1.4338026506301598e-5,1.4338026506301598e-5,1.4338026506301598e-5,8.603011668803634e-9,8.075349814031316e-9,9.114864823237867e-9,3.0500400465833772e-5,2.8703337881162217e-5,3.226238260873444e-5
TUR.40.25_1,albopictus,2025,2075,239.1124383502067,0.9999992787662845,0.999999267286877,0.999999290433387,0.037558238947917745,0.037558238947917745,0.037558238947917745,0.02155714756433761,0.02153393259015731,0.021580277627167736,0.03743566171082851,0.03739303411556507,0.037479565131591674
TUR.59.4_1,albopictus,2025,2075,73.93375411456199,0.06484055611718983,0.06387217311562486,0.0659364882305261,0.011790003984745676,0.011790003984745676,0.011790003984745676,1.0883786218069449e-4,1.0717217946254767e-4,1.1072789059554444e-4,5.137699125492718e-4,5.058977856299358e-4,5.222698638035836e-4
TUR.81.6_1,aegypti,2025,2075,0.15407302510008414,0.0027910747776716377,0.0027810051181782203,0.0028013364729843867,2.47370059369938e-5,2.47370059369938e-5,2.47370059369938e-5,4.56673863002811e-6,4.5502400372618276e-6,4.583551728224919e-6,0.010495277182348888,0.010455766816803288,0.01053470968789691
