district,m_050,m_080,m_120,m_200,beta_minus_20,beta_plus_20,ip_minus_20,ip_plus_20
Hopa (Artvin),-0.15058611027559107,-0.13500367331006594,0.46019441806171396,4.15211994709892,-0.13500367331006594,0.46019441806171396,-0.13500367331006588,0.460194418061715
Egirdir (Isparta),-4.940222985472254e-7,-4.929340302828322e-7,5.60606617068804e-5,0.22451122676748347,-4.929340302828322e-7,5.60606617068804e-5,-4.929340302828322e-7,5.60606617068804e-5
Kartal (Istanbul),-97.45730376800074,-85.14334333877332,2.5421020967548724,2.5426232986827557,-85.14334333877333,2.5421020967548724,-85.14334333877332,2.5421020967548724
Fethiye (Mugla),-0.013419712500663164,-0.013387767626372508,1.2319345607990972,99.1556656066723,-0.013387767626372508,1.2319345607990961,-0.013387767626372508,1.2319345607991001
Zonguldak,-0.019973994559904694,-0.019712419864056797,0.11311159191457858,1.1089540077355147,-0.019712419864056807,0.11311159191457858,-0.019712419864056807,0.11311159191457858
