district,base,m_050,m_080,m_120,m_200,beta_minus_20,beta_plus_20,ip_minus_20,ip_plus_20
Hopa (Artvin),0.00150586373819563,2.635439719234078e-9,1.558270050949706e-4,0.00610780791881277,0.043027063209184833,1.558270050949706e-4,0.00610780791881277,1.5582700509497117e-4,0.00610780791881278
Egirdir (Isparta),4.940222985472253e-9,0,1.0882682643931218e-11,5.655468400542763e-7,0.00224511720789782,1.0882682643931218e-11,5.655468400542763e-7,1.0882682643931218e-11,5.655468400542763e-7
Kartal (Istanbul),0.9745737670131724,7.293331650459755e-7,0.12314033362543916,0.9999947879807212,1,0.12314033362543908,0.9999947879807212,0.1231403336254392,0.9999947879807212
Fethiye (Mugla),1.341971255921678e-4,5.855361751017085e-13,3.194493284427447e-7,0.01245354273358314,0.9916908531923152,3.194493284427447e-7,0.01245354273358313,3.194493284427447e-7,0.01245354273358317
Zonguldak,1.997399547803844e-4,9.181337468078254e-12,2.615756139816461e-6,0.00133085587392617,0.01128928003213553,2.61575613981635e-6,0.00133085587392617,2.61575613981635e-6,0.00133085587392617
